Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL44,GENISTEIN,2,270.24,0,2.58,27,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,IC50,'=',1973,nM,5.71,,,UO_0000065,21.11,0.39,3.12,6.28,0,CHEMBL860989,Displacement of [3H]estrone from ER alpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146098,1,Scientific Literature,J Med Chem,2006,None,,,,1973
CHEMBL213337,,None,282.38,0,4.12,7a,CC[C@@H]1CC[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,IC50,'=',146,nM,6.84,,,UO_0000065,24.21,0.44,2.72,18.33,0,CHEMBL868058,Binding affinity to human recombinant ERalpha by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149514,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,,,146
CHEMBL212456,,None,242.32,0,3.48,1,CC[C@@]12CCC(=O)C(C)=C1c1ccc(O)cc1C2,IC50,'=',1210,nM,5.92,,,UO_0000065,24.42,0.45,2.44,15.86,0,CHEMBL868058,Binding affinity to human recombinant ERalpha by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149514,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,,,1210
CHEMBL214972,,None,382.46,1,5.16,20e,O=C1CCC2(Cc3ccccc3)Cc3cc(O)ccc3C2=C1c1ccc(O)cc1,IC50,'=',220,nM,6.66,,,UO_0000065,17.41,0.31,1.5,11.57,0,CHEMBL867419,Binding affinity to human ER alpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149487,1,Scientific Literature,J Med Chem,2006,None,,,,220
CHEMBL44,GENISTEIN,2,270.24,0,2.58,SID11111234,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,IC50,'=',395,nM,6.4,,,UO_0000065,23.7,0.44,3.82,7.04,1,CHEMBL891640,Inhibition of human ERalpha by radioligand binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146346,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,,395
CHEMBL232023,,None,284.29,0,3.59,52,Cc1c(/C=N/O)c2ccccc2n1-c1ccc(O)c(F)c1,IC50,'=',298,nM,6.53,,,UO_0000065,22.95,0.42,2.94,11.3,0,CHEMBL891640,Inhibition of human ERalpha by radioligand binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146346,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,,298
CHEMBL232022,,None,252.27,0,3.14,50,O/N=C/c1cn(-c2ccc(O)cc2)c2ccccc12,IC50,'=',1905,nM,5.72,,,UO_0000065,22.67,0.41,2.58,9.9,0,CHEMBL891640,Inhibition of human ERalpha by radioligand binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146346,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,,1905
CHEMBL319211,,None,446.57,1,5.33,16,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(F)c1,IC50,'=',38.99,nM,7.41,,,UO_0000065,16.59,0.31,2.08,20.62,1,CHEMBL831661,Inhibition of binding to human estrogen receptor alpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141983,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,,,1.409
CHEMBL365290,,None,240.26,0,3.82,19,Cc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,IC50,'=',114,nM,6.94,,,UO_0000065,28.9,0.53,3.12,12.95,0,CHEMBL832786,Binding affinity for human Estrogen receptor alpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1137038,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,114
CHEMBL2113002,,None,459.59,1,5.98,10,C[C@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3[C@@H](C)[C@@H]2c2ccc(O)cc2)cc1,IC50,'=',1.5,nM,8.82,,,UO_0000065,19.2,0.35,2.84,14.2,0,CHEMBL831077,Inhibition of estrogen receptor alpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142044,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,,,1.5
CHEMBL398841,,None,326.48,0,3.84,11,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C=C)[C@H]3CC[C@@]21C,IC50,'=',150,nM,6.82,,,UO_0000065,20.9,0.39,2.98,16.87,0,CHEMBL925467,Binding affinity at human recombinant ERalpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1140529,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,,150
CHEMBL385514,,None,346.47,1,5.48,20d,CCCCC1=C2c3ccc(O)cc3CC2(Cc2ccccc2)CCC1=O,IC50,'=',260,nM,6.58,,,UO_0000065,19.01,0.35,1.11,17.65,0,CHEMBL867419,Binding affinity to human ER alpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149487,1,Scientific Literature,J Med Chem,2006,None,,,,260
CHEMBL212923,,None,314.39,0,4.09,1a,O=C1C=C2c3ccc4[nH]ncc4c3CC2(Cc2ccccc2)CC1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL867419,Binding affinity to human ER alpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149487,1,Scientific Literature,J Med Chem,2006,None,,,,10000
CHEMBL395308,,None,263.3,0,4.02,11,O/N=C/c1ccc(-c2ccc(O)cc2)c2ccccc12,IC50,'=',95,nM,7.02,,,UO_0000065,26.67,0.48,3,13.29,0,CHEMBL891640,Inhibition of human ERalpha by radioligand binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146346,1,Scientific Literature,Bioorg Med Chem Lett,2007,None,,,,95
CHEMBL187673,,None,227.22,0,2.91,73,Oc1ccc(-c2nc3ccc(O)cc3o2)cc1,IC50,'=',902,nM,6.04,,,UO_0000065,26.6,0.49,3.13,9.09,0,CHEMBL829540,Inhibitory concentration against human ER alpha expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1138773,1,Scientific Literature,J Med Chem,2004,None,,,,902
CHEMBL189002,,None,245.21,0,3.05,76,Oc1ccc2nc(-c3ccc(O)c(F)c3)oc2c1,IC50,'=',8430,nM,5.07,,,UO_0000065,20.69,0.38,2.02,7.63,0,CHEMBL829540,Inhibitory concentration against human ER alpha expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1138773,1,Scientific Literature,J Med Chem,2004,None,,,,8430
